phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.15,0,-1,1.0,94.32786498277585,57.638888888888886,69,12,0,0,218.09999999999997,23.47926199261993,241.5792619926199,-1439.0,-233.02499999999998,-1672.025,19,61,104,85,19
train,0.15,1,-1,0.99525,225.27113566062658,11.805555555555555,0,0,13,4,226.3,23.47926199261993,249.77926199261995,-334.0,-218.05499999999998,-552.0550000000001,23,67,108,77,13
train,0.15,2,-1,0.9905,195.96236890378123,34.72222222222222,0,0,0,0,198.6,23.47926199261993,222.07926199261993,112.0,-227.63999999999996,-115.63999999999997,14,71,108,79,16
train,0.15,3,-1,0.98575,216.0572607676216,35.41666666666667,0,0,30,2,222.7,23.47926199261993,246.17926199261993,-300.0,-218.27999999999997,-518.28,22,76,100,74,16
train,0.15,4,-1,0.981,196.84719742833352,28.819444444444443,0,0,0,0,242.6,23.47926199261993,266.07926199261993,32.0,-222.64499999999998,-190.64499999999992,18,77,104,70,19
train,0.15,5,-1,0.97625,262.0541791859783,10.416666666666668,0,0,101,11,223.8,23.47926199261993,247.27926199261995,-1582.0,-227.33999999999997,-1809.34,17,69,111,71,20
train,0.15,6,-1,0.9715,76.57602983272871,38.54166666666667,129,13,0,0,199.29999999999998,23.47926199261993,222.77926199261992,-3084.0,-202.935,-3286.935,30,81,101,63,13
train,0.15,7,-1,0.96675,124.411550280057,76.73611111111111,35,4,0,0,173.59999999999997,23.47926199261993,197.0792619926199,-292.0,-209.21999999999997,-501.21999999999997,17,86,111,62,12
train,0.15,8,-1,0.962,207.47893159129092,31.25,0,0,1,1,202.5,23.47926199261993,225.97926199261994,58.0,-211.32,-153.31999999999994,23,73,112,68,12
train,0.15,9,-1,0.95725,112.97639869386795,81.59722222222221,28,4,0,0,210.49999999999997,23.47926199261993,233.9792619926199,-95.0,-206.07,-301.06999999999994,27,83,100,64,14
train,0.15,10,-1,0.9525,84.07258940765854,48.61111111111111,61,10,0,0,212.8,23.47926199261993,236.27926199261995,-1453.0,-212.44499999999996,-1665.445,23,78,106,66,15
train,0.15,11,-1,0.94775,214.6854006397765,9.722222222222223,0,0,2,1,205.79999999999998,23.47926199261993,229.27926199261992,-204.0,-203.08499999999998,-407.085,26,74,113,68,7
train,0.15,12,-1,0.9430000000000001,179.02797192642396,56.25,0,0,0,0,188.3,23.47926199261993,211.77926199261995,360.0,-189.19499999999996,170.805,31,95,100,53,9
train,0.15,13,-1,0.93825,93.90963002010129,54.861111111111114,78,13,0,0,211.0,23.47926199261993,234.47926199261994,-1678.0,-207.28499999999997,-1885.2850000000003,27,80,104,62,15
train,0.15,14,-1,0.9335,199.44715133429614,44.79166666666667,0,0,9,1,176.8,23.47926199261993,200.27926199261995,102.0,-206.98499999999996,-104.98500000000001,29,86,96,58,19
train,0.15,15,-1,0.92875,174.5609439711955,40.27777777777778,21,1,0,0,202.79999999999998,23.47926199261993,226.27926199261992,-364.0,-201.71999999999997,-565.72,18,89,114,59,8
train,0.15,16,-1,0.924,97.06064557072871,64.23611111111111,45,9,0,0,218.3,23.47926199261993,241.77926199261995,-796.0,-226.755,-1022.755,16,73,110,68,21
train,0.15,17,-1,0.91925,238.5803819851194,19.09722222222222,0,0,46,6,231.49999999999997,23.47926199261993,254.9792619926199,-712.0,-240.97499999999997,-952.975,15,56,108,88,21
train,0.15,18,-1,0.9145,158.07137204987708,80.20833333333334,0,0,0,0,211.5,23.47926199261993,234.97926199261994,636.0,-228.77999999999997,407.22,22,69,101,72,24
train,0.15,19,-1,0.9097500000000001,215.34974790776454,16.319444444444446,0,0,0,0,210.89999999999998,23.47926199261993,234.37926199261992,-100.0,-216.70499999999998,-316.70500000000004,22,69,107,79,11
train,0.15,20,-1,0.905,115.47680952062979,63.541666666666664,46,4,0,0,211.5,23.47926199261993,234.97926199261994,-765.0,-213.28499999999997,-978.2849999999999,22,86,100,61,19
