phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,source
train,0.6,0,-1,1.0,169.3742283806594,46.18055555555556,0,0,0,0,313.0,23.47926199261993,336.4792619926199,84.0,-1023.18,-939.18,53,47,55,72,61,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,1,-1,0.9972857142857144,191.48390532175284,34.02777777777778,0,0,0,0,235.2,23.47926199261993,258.6792619926199,6.0,-929.28,-923.28,57,67,50,62,52,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,2,-1,0.9945714285714286,184.26317499696808,51.04166666666666,0,0,0,0,293.5,23.47926199261993,316.9792619926199,153.0,-939.6,-786.5999999999999,74,47,53,50,64,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,3,-1,0.9918571428571428,84.04475703266013,42.70833333333333,131,9,0,0,304.0,23.47926199261993,327.4792619926199,-3165.0,-952.38,-4117.38,63,54,58,52,61,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,4,-1,0.9891428571428572,157.71634024374046,31.25,46,2,0,0,267.29999999999995,23.47926199261993,290.77926199261987,-1149.0,-941.2199999999998,-2090.22,56,64,56,57,55,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,5,-1,0.9864285714285714,232.68830616684096,19.444444444444446,0,0,6,1,258.8,23.47926199261993,282.2792619926199,-204.0,-915.18,-1119.1799999999998,63,57,61,54,53,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,6,-1,0.9837142857142858,183.61656170926076,47.22222222222222,0,0,0,0,282.0,23.47926199261993,305.4792619926199,120.0,-913.5599999999998,-793.56,67,61,46,60,54,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,7,-1,0.981,139.8523298124773,59.72222222222222,36,3,0,0,264.4,23.47926199261993,287.8792619926199,-690.0,-929.22,-1619.22,61,62,53,57,55,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,8,-1,0.9782857142857144,83.69761946848303,31.944444444444443,131,16,0,0,281.1,23.47926199261993,304.57926199261993,-3333.0,-1015.26,-4348.26,47,61,59,56,65,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,9,-1,0.9755714285714284,165.42585871634915,59.375,0,0,0,0,287.5,23.47926199261993,310.9792619926199,213.0,-926.58,-713.5799999999999,63,58,56,56,55,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,10,-1,0.9728571428571428,219.78826165142576,47.91666666666667,0,0,58,1,265.6,23.47926199261993,289.07926199261993,-686.0,-951.78,-1637.7799999999995,58,56,58,61,55,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,11,-1,0.9701428571428572,102.8323514258171,59.02777777777778,85,9,0,0,233.4,23.47926199261993,256.87926199261994,-1893.0,-974.16,-2867.16,50,73,46,59,60,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,12,-1,0.9674285714285714,159.13478190149382,84.375,0,0,0,0,311.6,23.47926199261993,335.07926199261993,441.0,-885.5999999999999,-444.5999999999999,70,54,63,49,52,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,13,-1,0.9647142857142856,88.91592385311009,44.09722222222222,92,15,0,0,280.5,23.47926199261993,303.9792619926199,-2319.0,-983.04,-3302.04,55,55,51,71,56,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,14,-1,0.962,172.0547398410496,55.208333333333336,0,0,0,0,247.9,23.47926199261993,271.3792619926199,189.0,-888.3599999999999,-699.3599999999999,58,63,68,53,46,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,15,-1,0.9592857142857144,101.17774353507706,72.22222222222221,47,8,0,0,247.9,23.47926199261993,271.3792619926199,-891.0,-912.66,-1803.66,53,67,62,59,47,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,16,-1,0.9565714285714286,132.4485246506053,68.05555555555556,3,1,0,0,283.9,23.47926199261993,307.3792619926199,147.0,-960.12,-813.1199999999999,54,59,64,53,58,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,17,-1,0.9538571428571428,102.05298312041336,67.70833333333334,61,4,0,0,301.2,23.47926199261993,324.6792619926199,-1233.0,-927.12,-2160.12,57,66,53,60,52,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,18,-1,0.9511428571428572,94.47085163214352,57.29166666666666,94,9,0,0,283.79999999999995,23.47926199261993,307.27926199261987,-2136.0,-903.24,-3039.24,58,66,61,53,50,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,19,-1,0.9484285714285714,118.76498932494466,45.48611111111111,81,2,0,0,249.5,23.47926199261993,272.9792619926199,-1878.0,-921.6,-2799.6000000000004,52,77,51,56,52,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,20,-1,0.9457142857142856,122.07167189071818,66.66666666666666,43,3,0,0,225.9,23.47926199261993,249.37926199261992,-819.0,-901.5,-1720.5,61,69,54,51,53,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,21,-1,0.943,183.6872233001801,36.45833333333333,0,0,16,1,264.1,23.47926199261993,287.57926199261993,-254.0,-946.38,-1200.38,50,65,57,67,49,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,22,-1,0.9402857142857144,134.7653198498183,93.05555555555556,0,0,0,0,269.2,23.47926199261993,292.6792619926199,507.0,-880.9799999999999,-373.9799999999999,68,56,59,58,47,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,23,-1,0.9375714285714286,106.150979187692,36.80555555555556,126,9,0,0,324.3,23.47926199261993,347.7792619926199,-3060.0,-976.38,-4036.38,53,65,52,57,61,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,24,-1,0.9348571428571428,87.25846344732813,48.61111111111111,80,13,0,0,226.3,23.47926199261993,249.77926199261992,-1992.0,-940.98,-2932.98,57,59,55,66,51,dqn_penalty_sweep_coeff_0_6_seed42.csv
