phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.4,0,-1,1.0,173.6816936584372,38.54166666666667,0,0,0,0,249.0,23.47926199261993,272.4792619926199,129.0,-625.72,-496.72,13,63,113,80,19
train,0.4,1,-1,0.9936666666666667,182.42279421064183,48.61111111111111,0,0,0,0,226.60000000000002,23.47926199261993,250.07926199261996,272.0,-581.68,-309.68,25,70,106,69,18
train,0.4,2,-1,0.9873333333333333,173.14338333030136,64.23611111111111,0,0,0,0,245.89999999999998,23.47926199261993,269.3792619926199,452.0,-650.0799999999999,-198.08,13,56,112,83,24
train,0.4,3,-1,0.981,89.59612773055444,47.22222222222222,122,6,0,0,213.5,23.47926199261993,236.97926199261994,-5812.0,-577.0,-6389.0,19,71,116,69,13
train,0.4,4,-1,0.9746666666666667,158.063830513077,31.944444444444443,42,2,0,0,226.4,23.47926199261993,249.87926199261994,-2008.0,-637.2399999999999,-2645.2400000000002,12,65,109,79,23
train,0.4,5,-1,0.9683333333333334,254.33900061128537,12.5,0,0,76,14,197.79999999999998,23.47926199261993,221.27926199261992,-1208.0,-574.92,-1782.92,22,79,103,67,17
train,0.4,6,-1,0.962,206.6434714314831,24.305555555555554,0,0,0,0,221.89999999999998,23.47926199261993,245.37926199261992,-8.0,-611.48,-619.48,20,71,100,74,23
train,0.4,7,-1,0.9556666666666667,134.85815385625776,62.15277777777778,36,3,0,0,223.79999999999995,23.47926199261993,247.2792619926199,-1402.0,-581.0,-1983.0000000000002,14,78,114,69,13
train,0.4,8,-1,0.9493333333333334,89.5889012697118,39.23611111111111,97,11,0,0,210.1,23.47926199261993,233.57926199261993,-4805.0,-583.8399999999999,-5388.840000000001,22,78,102,66,20
train,0.4,9,-1,0.9430000000000001,182.36266427190483,51.736111111111114,0,0,0,0,230.5,23.47926199261993,253.97926199261994,308.0,-600.28,-292.2800000000001,16,82,102,65,23
train,0.4,10,-1,0.9366666666666666,224.64296787929004,43.40277777777778,0,0,61,2,199.7,23.47926199261993,223.17926199261993,-642.0,-591.1600000000001,-1233.16,17,77,102,77,15
train,0.4,11,-1,0.9303333333333333,100.77333032180807,60.763888888888886,82,9,0,0,203.6,23.47926199261993,227.07926199261993,-3675.0,-631.56,-4306.56,14,68,107,74,25
train,0.4,12,-1,0.924,163.84155273482722,79.16666666666666,0,0,0,0,193.0,23.47926199261993,216.47926199261994,624.0,-525.6,98.4,26,95,100,55,12
train,0.4,13,-1,0.9176666666666666,94.51310332239642,53.47222222222222,77,16,0,0,228.7,23.47926199261993,252.17926199261993,-3610.0,-544.5999999999999,-4154.599999999999,19,87,114,57,11
train,0.4,14,-1,0.9113333333333333,175.60543428549397,49.65277777777778,0,0,0,0,216.2,23.47926199261993,239.67926199261993,284.0,-572.4,-288.40000000000003,12,89,110,63,14
train,0.4,15,-1,0.905,93.89166243365196,66.66666666666666,67,7,0,0,199.8,23.47926199261993,223.27926199261995,-2890.0,-488.76,-3378.7599999999993,28,103,105,45,7
train,0.4,16,-1,0.8986666666666667,165.6058163172723,69.44444444444444,0,0,9,4,204.7,23.47926199261993,228.17926199261993,383.0,-569.0799999999999,-186.08000000000004,17,85,108,63,15
train,0.4,17,-1,0.8923333333333333,103.4236752193653,68.40277777777779,58,4,0,0,217.0,23.47926199261993,240.47926199261994,-2411.0,-582.04,-2993.04,15,82,107,69,15
train,0.4,18,-1,0.886,96.46878859805172,59.02777777777778,96,5,0,0,232.39999999999998,23.47926199261993,255.87926199261992,-4378.0,-575.68,-4953.68,22,84,99,63,20
train,0.4,19,-1,0.8796666666666667,121.52566964728268,38.88888888888889,87,5,1,1,199.0,23.47926199261993,222.47926199261994,-4186.0,-561.12,-4747.12,15,84,117,60,12
train,0.4,20,-1,0.8733333333333333,132.13649907369185,62.84722222222222,36,3,0,0,188.5,23.47926199261993,211.97926199261994,-1406.0,-507.56000000000006,-1913.56,27,98,103,51,9
train,0.4,21,-1,0.867,211.19416774462482,39.58333333333333,0,0,26,1,204.5,23.47926199261993,227.97926199261994,-196.0,-585.96,-781.9599999999999,17,80,105,69,17
train,0.4,22,-1,0.8606666666666667,142.63198651648494,88.19444444444444,0,0,0,0,183.29999999999998,23.47926199261993,206.77926199261992,728.0,-513.2,214.8,17,109,108,44,10
train,0.4,23,-1,0.8543333333333334,104.937700195182,39.58333333333333,117,9,0,0,215.8,23.47926199261993,239.27926199261995,-5658.0,-523.48,-6181.4800000000005,19,105,102,51,11
train,0.4,24,-1,0.848,91.91672411454735,56.94444444444444,59,13,0,0,167.7,23.47926199261993,191.17926199261993,-2718.0,-489.96000000000004,-3207.96,30,103,102,44,9
train,0.4,25,-1,0.8416666666666667,97.56335642470145,68.40277777777779,54,10,0,0,188.89999999999998,23.47926199261993,212.37926199261992,-2254.0,-528.52,-2782.5199999999995,24,100,96,55,13
train,0.4,26,-1,0.8353333333333334,150.1069862285663,72.56944444444444,0,0,0,0,198.5,23.47926199261993,221.97926199261994,548.0,-551.72,-3.7199999999999918,23,79,107,70,9
train,0.4,27,-1,0.829,88.2420478860014,54.513888888888886,128,2,0,0,180.0,23.47926199261993,203.47926199261994,-5941.0,-509.15999999999997,-6450.160000000001,26,97,106,50,9
train,0.4,28,-1,0.8226666666666667,116.72010854234266,93.05555555555556,8,3,0,0,209.0,23.47926199261993,232.47926199261994,356.0,-571.0,-215.00000000000003,21,80,104,68,15
train,0.4,29,-1,0.8163333333333334,164.6396652017064,50.0,4,2,0,0,206.2,23.47926199261993,229.67926199261993,44.0,-562.12,-518.12,19,91,102,59,17
train,0.4,30,-1,0.81,197.4307641715839,26.38888888888889,0,0,0,0,205.7,23.47926199261993,229.17926199261993,16.0,-539.0,-523.0,26,80,112,59,11
