phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.25,0,-1,1.0,193.26051310288176,31.59722222222222,0,0,2,2,201.89999999999998,23.47926199261993,225.37926199261992,48.0,-332.7,-284.7,27,80,110,63,8
train,0.25,1,-1,0.9936666666666667,199.2538705995307,19.444444444444446,0,0,0,0,229.3,23.47926199261993,252.77926199261995,-64.0,-386.2,-450.2,19,65,102,82,20
train,0.25,2,-1,0.9873333333333333,195.60970277474593,45.48611111111111,0,0,13,3,209.3,23.47926199261993,232.77926199261995,54.0,-319.875,-265.875,21,91,117,56,3
train,0.25,3,-1,0.981,79.48100567767693,33.33333333333333,124,17,0,0,237.70000000000002,23.47926199261993,261.17926199261996,-6184.0,-382.04999999999995,-6566.049999999999,12,60,125,77,14
train,0.25,4,-1,0.9746666666666667,154.4993595782864,34.72222222222222,42,2,0,0,213.39999999999998,23.47926199261993,236.87926199261992,-1976.0,-380.275,-2356.275,17,68,109,75,19
train,0.25,5,-1,0.9683333333333334,235.90584088906311,17.708333333333336,0,0,11,1,208.6,23.47926199261993,232.07926199261993,-238.0,-349.57499999999993,-587.5749999999999,19,84,113,57,15
train,0.25,6,-1,0.962,201.68913115370535,27.430555555555557,0,0,0,0,213.29999999999998,23.47926199261993,236.77926199261992,28.0,-349.975,-321.9749999999999,14,84,119,60,11
train,0.25,7,-1,0.9556666666666667,146.22200203044545,60.06944444444444,31,2,0,0,212.39999999999998,23.47926199261993,235.87926199261992,-1154.0,-361.75,-1515.75,14,79,116,65,14
train,0.25,8,-1,0.9493333333333334,87.19916672277515,35.06944444444444,108,11,0,0,234.39999999999998,23.47926199261993,257.8792619926199,-5389.0,-395.79999999999995,-5784.799999999999,16,67,100,81,24
train,0.25,9,-1,0.9430000000000001,181.6383587163493,55.208333333333336,0,0,0,0,224.79999999999998,23.47926199261993,248.27926199261992,348.0,-342.34999999999997,5.650000000000006,19,89,113,53,14
