phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.25,0,-1,1.0,170.83030476954843,48.61111111111111,0,0,0,0,274.9,23.47926199261993,298.3792619926199,111.0,-388.425,-277.425,59,58,53,69,49
train,0.25,1,-1,0.99905,180.26654421064185,52.77777777777778,0,0,0,0,279.70000000000005,23.47926199261993,303.17926199262,168.0,-376.55,-208.55,70,55,54,55,54
train,0.25,2,-1,0.9981,174.83366110807913,64.23611111111111,0,0,0,0,308.0,23.47926199261993,331.4792619926199,267.0,-401.475,-134.47499999999997,60,61,51,53,63
train,0.25,3,-1,0.99715,85.95482365360537,44.44444444444444,113,17,0,0,286.6,23.47926199261993,310.0792619926199,-2757.0,-412.425,-3169.425,50,61,59,57,61
train,0.25,4,-1,0.9962,148.0153303135098,47.22222222222222,42,2,0,0,263.6,23.47926199261993,287.07926199261993,-918.0,-392.125,-1310.125,66,52,53,60,57
train,0.25,5,-1,0.99525,250.10080616684093,12.5,0,0,39,14,243.5,23.47926199261993,266.9792619926199,-726.0,-387.425,-1113.4250000000002,61,58,63,49,57
train,0.25,6,-1,0.9943,187.2549297648164,45.48611111111111,0,0,0,0,270.2,23.47926199261993,293.6792619926199,105.0,-360.07499999999993,-255.07500000000005,66,72,54,45,51
train,0.25,7,-1,0.99335,135.0636880457105,60.763888888888886,38,3,0,0,258.8,23.47926199261993,282.2792619926199,-738.0,-383.6,-1121.6,61,59,58,58,52
train,0.25,8,-1,0.9924,88.52533082059898,36.45833333333333,110,10,0,0,286.3,23.47926199261993,309.7792619926199,-2802.0,-411.425,-3213.425,59,40,72,56,61
train,0.25,9,-1,0.99145,185.04478232746047,51.73611111111112,0,0,0,0,280.70000000000005,23.47926199261993,304.17926199262,159.0,-381.475,-222.475,64,62,53,54,55
