phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.25,0,-1,1.0,88.35416361857038,44.79166666666667,113,13,0,0,271.7,23.47926199261993,295.1792619926199,-2751.0,-397.7,-3148.7,56,61,48,71,52
train,0.25,1,-1,0.9972857142857143,149.62050542340825,39.23611111111111,46,2,0,0,296.0,23.47926199261993,319.4792619926199,-1080.0,-419.0,-1499.0,50,58,60,56,64
train,0.25,2,-1,0.9945714285714286,242.74351450017426,13.88888888888889,0,0,16,3,300.4,23.47926199261993,323.8792619926199,-392.0,-383.19999999999993,-775.1999999999999,65,53,65,49,56
train,0.25,3,-1,0.9918571428571429,203.7274992092607,24.65277777777778,0,0,0,0,259.59999999999997,23.47926199261993,283.0792619926199,-75.0,-394.65,-469.65,59,62,53,56,58
train,0.25,4,-1,0.9891428571428571,144.54615728423562,61.458333333333336,32,2,0,0,261.29999999999995,23.47926199261993,284.77926199261987,-567.0,-370.49999999999994,-937.5,55,73,62,50,48
train,0.25,5,-1,0.9864285714285714,86.89035033844934,37.15277777777778,112,13,0,0,330.6,23.47926199261993,354.07926199261993,-2844.0,-437.45,-3281.45,45,52,68,53,70
train,0.25,6,-1,0.9837142857142858,174.67308093857142,56.94444444444444,0,0,0,0,255.79999999999998,23.47926199261993,279.2792619926199,204.0,-373.55,-169.54999999999998,62,69,49,58,50
train,0.25,7,-1,0.981,213.08689745093048,48.61111111111111,0,0,55,2,276.8,23.47926199261993,300.2792619926199,-638.0,-393.75,-1031.75,54,59,59,66,50
train,0.25,8,-1,0.9782857142857143,101.65934800714791,57.986111111111114,88,8,0,0,284.70000000000005,23.47926199261993,308.17926199261996,-1974.0,-394.2,-2368.2,57,67,61,39,64
train,0.25,9,-1,0.9755714285714285,142.09137912371605,93.75,0,0,0,0,306.1,23.47926199261993,329.57926199261993,522.0,-408.0,114.00000000000001,55,54,62,57,60
train,0.25,10,-1,0.9728571428571429,96.778034054472,56.25,76,13,0,0,273.1,23.47926199261993,296.57926199261993,-1758.0,-376.625,-2134.625,52,69,63,59,45
train,0.25,11,-1,0.9701428571428572,188.9878995632719,40.97222222222222,0,0,0,0,250.2,23.47926199261993,273.6792619926199,66.0,-392.075,-326.075,52,57,72,56,51
train,0.25,12,-1,0.9674285714285714,94.03869587767116,64.23611111111111,74,10,0,0,264.4,23.47926199261993,287.8792619926199,-1596.0,-387.325,-1983.3250000000003,55,67,64,45,57
train,0.25,13,-1,0.9647142857142857,142.90755242838316,76.73611111111111,0,0,0,0,264.9,23.47926199261993,288.3792619926199,366.0,-397.575,-31.575000000000003,56,63,50,64,55
train,0.25,14,-1,0.962,99.52282760346267,62.84722222222222,69,4,0,0,311.6,23.47926199261993,335.07926199261993,-1482.0,-406.725,-1888.7249999999997,53,54,71,49,61
train,0.25,15,-1,0.9592857142857143,94.3423942760982,58.68055555555556,95,8,0,0,288.0,23.47926199261993,311.4792619926199,-2133.0,-390.775,-2523.7749999999996,60,53,66,54,55
train,0.25,16,-1,0.9565714285714286,122.02379176561509,43.40277777777778,80,3,0,0,279.0,23.47926199261993,302.4792619926199,-1884.0,-410.15,-2294.15,57,61,52,52,66
train,0.25,17,-1,0.9538571428571428,115.03539090735902,56.94444444444444,51,5,0,0,305.0,23.47926199261993,328.4792619926199,-1155.0,-403.20000000000005,-1558.2000000000003,65,62,42,51,68
train,0.25,18,-1,0.9511428571428572,198.21118163351366,39.23611111111111,0,0,19,1,248.0,23.47926199261993,271.4792619926199,-215.0,-338.15,-553.15,73,63,59,55,38
train,0.25,19,-1,0.9484285714285714,130.77035457204042,96.52777777777779,0,0,0,0,241.7,23.47926199261993,265.1792619926199,537.0,-372.19999999999993,164.8,60,73,46,61,48
train,0.25,20,-1,0.9457142857142857,107.53945027468383,35.06944444444444,114,10,0,0,216.2,23.47926199261993,239.67926199261993,-2823.0,-365.04999999999995,-3188.0499999999997,65,69,53,51,50
train,0.25,21,-1,0.9430000000000001,88.74555952228886,51.388888888888886,77,11,0,0,217.4,23.47926199261993,240.87926199261994,-1881.0,-387.42499999999995,-2268.4249999999997,58,61,59,57,53
train,0.25,22,-1,0.9402857142857143,87.55907609196333,57.986111111111114,80,9,0,0,292.5,23.47926199261993,315.9792619926199,-1827.0,-403.375,-2230.375,56,64,54,51,63
train,0.25,23,-1,0.9375714285714286,116.67295845078853,77.08333333333334,5,5,0,0,258.6,23.47926199261993,282.07926199261993,120.0,-396.7,-276.70000000000005,53,66,63,46,60
train,0.25,24,-1,0.9348571428571428,85.83262759624199,46.18055555555556,136,2,0,0,275.8,23.47926199261993,299.2792619926199,-3210.0,-384.75,-3594.7499999999995,60,64,54,56,54
train,0.25,25,-1,0.9321428571428572,100.26427087023757,76.38888888888889,31,4,0,0,289.40000000000003,23.47926199261993,312.87926199261994,-483.0,-378.875,-861.8750000000001,62,65,57,49,55
train,0.25,26,-1,0.9294285714285714,146.1868874239286,48.95833333333333,16,6,0,0,279.1,23.47926199261993,302.57926199261993,-327.0,-377.325,-704.325,60,61,68,46,53
train,0.25,27,-1,0.9267142857142857,156.38319472713928,75.69444444444444,0,0,0,0,298.4,23.47926199261993,321.8792619926199,366.0,-393.625,-27.625,71,44,51,65,57
train,0.25,28,-1,0.924,114.69203186192057,92.70833333333334,9,1,0,0,296.4,23.47926199261993,319.8792619926199,267.0,-361.0,-93.99999999999999,69,57,65,49,48
train,0.25,29,-1,0.9212857142857143,271.8580471226357,4.861111111111112,0,0,113,9,248.0,23.47926199261993,271.4792619926199,-1828.0,-367.8,-2195.8,65,67,49,59,48
train,0.25,30,-1,0.9185714285714286,144.19781610598582,73.61111111111111,0,0,0,0,286.70000000000005,23.47926199261993,310.17926199261996,312.0,-386.35,-74.35,66,59,51,54,58
train,0.25,31,-1,0.9158571428571429,90.67372406556935,42.70833333333333,99,9,0,0,261.70000000000005,23.47926199261993,285.17926199261996,-2463.0,-376.74999999999994,-2839.7499999999995,64,62,51,61,50
train,0.25,32,-1,0.9131428571428571,59.69308191085938,15.277777777777779,218,8,0,0,311.70000000000005,23.47926199261993,335.17926199261996,-5466.0,-384.94999999999993,-5850.949999999999,59,66,53,56,54
train,0.25,33,-1,0.9104285714285714,109.4643519528937,45.13888888888889,67,10,0,0,246.4,23.47926199261993,269.87926199261994,-1638.0,-364.09999999999997,-2002.1000000000004,70,61,58,47,52
train,0.25,34,-1,0.9077142857142857,177.21245889760326,58.68055555555556,0,0,0,0,257.0,23.47926199261993,280.4792619926199,219.0,-397.325,-178.325,57,59,65,46,61
train,0.25,35,-1,0.905,177.75192164565837,50.34722222222222,0,0,0,0,232.0,23.47926199261993,255.47926199261994,147.0,-352.65,-205.64999999999998,73,62,54,53,46
train,0.25,36,-1,0.9022857142857142,183.45031534915205,45.48611111111111,0,0,0,0,239.5,23.47926199261993,262.9792619926199,105.0,-369.72499999999997,-264.72499999999997,77,62,45,43,61
train,0.25,37,-1,0.8995714285714286,94.35583568157978,42.70833333333333,97,8,0,0,236.5,23.47926199261993,259.9792619926199,-2397.0,-396.5,-2793.5,59,66,47,56,60
train,0.25,38,-1,0.8968571428571429,163.5472032604465,67.01388888888889,0,0,0,0,245.3,23.47926199261993,268.7792619926199,291.0,-385.67499999999995,-94.67499999999998,67,52,63,47,59
train,0.25,39,-1,0.8941428571428571,85.9857486360709,52.43055555555556,70,12,0,0,310.9,23.47926199261993,334.3792619926199,-1716.0,-376.2,-2092.2000000000003,57,61,69,53,48
train,0.25,40,-1,0.8914285714285715,96.2830107883458,63.888888888888886,71,6,0,0,276.2,23.47926199261993,299.6792619926199,-1539.0,-363.57499999999993,-1902.5750000000003,71,60,56,50,51
train,0.25,41,-1,0.8887142857142857,90.03543735135827,54.861111111111114,105,8,0,0,271.79999999999995,23.47926199261993,295.27926199261987,-2409.0,-380.32499999999993,-2789.325,69,60,48,54,57
