phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.1,0,-1,1.0,67.77227133345087,26.73611111111111,192,7,0,0,1686.1999999999998,23.47926199261993,1709.6792619926198,-3858.0,-168.62,-4026.62,62,50,48,58,70
train,0.1,1,-1,0.9982,104.67391860564862,71.18055555555556,49,8,0,0,1605.3999999999999,23.47926199261993,1628.8792619926198,-933.0,-160.54,-1093.5400000000002,50,59,66,59,54
train,0.1,2,-1,0.9964,210.81425227488805,17.01388888888889,0,0,13,3,1680.8,23.47926199261993,1704.27926199262,-533.0,-168.07999999999998,-701.0799999999999,52,48,77,43,68
train,0.1,3,-1,0.9946,197.83787352140564,29.51388888888889,0,0,1,1,1643.1,23.47926199261993,1666.5792619926199,-329.0,-164.30999999999997,-493.30999999999995,46,69,55,59,59
train,0.1,4,-1,0.9928,216.56057321751118,14.930555555555555,0,0,2,1,1630.8999999999999,23.47926199261993,1654.3792619926198,-463.0,-163.08999999999997,-626.0899999999999,52,60,62,53,61
train,0.1,5,-1,0.991,222.043000233033,23.26388888888889,0,0,5,2,1778.6999999999998,23.47926199261993,1802.1792619926198,-415.0,-177.87,-592.87,46,53,48,74,67
train,0.1,6,-1,0.9892,163.69948024633553,74.30555555555556,0,0,0,0,1685.5,23.47926199261993,1708.97926199262,66.0,-168.55,-102.54999999999998,51,61,54,55,67
train,0.1,7,-1,0.9874,142.4410604627181,76.73611111111111,4,1,0,0,1598.3999999999999,23.47926199261993,1621.8792619926198,0.0,-159.84,-159.84000000000003,59,57,51,65,56
train,0.1,8,-1,0.9856,266.2719577770538,7.638888888888889,0,0,100,5,1549.2,23.47926199261993,1572.67926199262,-1310.0,-154.92000000000002,-1464.9199999999998,60,61,59,52,56
train,0.1,9,-1,0.9838,117.43108889968883,80.20833333333334,28,3,0,0,1570.1999999999998,23.47926199261993,1593.6792619926198,-441.0,-157.02,-598.0200000000002,54,60,66,54,54
train,0.1,10,-1,0.982,111.67802048302484,73.95833333333334,41,9,0,0,1563.9,23.47926199261993,1587.37926199262,-768.0,-156.39,-924.3900000000002,54,67,58,54,55
