phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,source
train,0.1,0,-1,1.0,69.80616156741655,28.125,186,6,0,0,1503.9,23.47926199261993,1527.37926199262,-3744.0,-150.39,-3894.39,68,55,62,48,55,smoke_dqn_seed123.csv
train,0.1,1,-1,0.9982,104.5600537797834,71.52777777777779,54,10,0,0,1685.8,23.47926199261993,1709.27926199262,-1002.0,-168.58,-1170.5800000000002,58,43,64,57,66,smoke_dqn_seed123.csv
train,0.1,2,-1,0.9964,196.43630088599917,29.86111111111111,0,0,0,0,1570.6,23.47926199261993,1594.07926199262,-318.0,-157.06,-475.06,61,57,59,53,58,smoke_dqn_seed123.csv
train,0.1,3,-1,0.9946,187.88388046585013,39.23611111111111,0,0,1,1,1583.1,23.47926199261993,1606.57926199262,-245.0,-158.30999999999997,-403.31,48,69,64,52,55,smoke_dqn_seed123.csv
train,0.1,4,-1,0.9928,224.72550377306672,13.194444444444445,0,0,3,1,1539.5,23.47926199261993,1562.97926199262,-486.0,-153.95,-639.9499999999999,48,60,74,63,43,smoke_dqn_seed123.csv
train,0.1,5,-1,0.991,223.014701621922,22.916666666666664,0,0,4,2,1480.6,23.47926199261993,1504.07926199262,-410.0,-148.06,-558.06,63,72,53,46,54,smoke_dqn_seed123.csv
train,0.1,6,-1,0.9892,169.74357746855767,67.36111111111111,0,0,0,0,1544.4,23.47926199261993,1567.87926199262,6.0,-154.44,-148.44,54,61,70,51,52,smoke_dqn_seed123.csv
train,0.1,7,-1,0.9874,149.7716160182737,73.95833333333334,1,1,0,0,1467.9,23.47926199261993,1491.3792619926198,30.0,-146.79,-116.79,73,61,51,48,55,smoke_dqn_seed123.csv
train,0.1,8,-1,0.9856,245.47536802926797,11.11111111111111,0,0,73,4,1714.6,23.47926199261993,1738.07926199262,-1064.0,-171.46,-1235.46,50,52,53,71,62,smoke_dqn_seed123.csv
train,0.1,9,-1,0.9838,107.91594120701454,77.43055555555556,46,4,0,0,1628.4,23.47926199261993,1651.8792619926198,-789.0,-162.84,-951.8400000000004,58,57,50,63,60,smoke_dqn_seed123.csv
